Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
90;21100858657;"Lancet Planetary Health, The";journal;"25425196";5,057;Q1;72;141;453;4641;5217;232;11,83;32,91;45,25;0;94;Netherlands;Western Europe;"Elsevier B.V.";"2017-2023";"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
91;28371;"Hepatology";journal;"02709139, 15273350";5,011;Q1;403;482;1570;16638;13572;1042;7,92;34,52;40,39;1;188;United States;Northern America;"Wolters Kluwer Health";"1981-2023";"Hepatology (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
92;12459;"Journal of the National Cancer Institute";journal;"14602105, 00278874";4,986;Q1;387;211;719;2601;4647;510;6,60;12,33;50,21;2;180;United Kingdom;Western Europe;"Oxford University Press";"1940-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
93;19700175140;"Genome Medicine";journal;"1756994X";4,975;Q1;123;114;435;7848;4993;428;9,67;68,84;43,43;1;67;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2023";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
94;21101053562;"Lancet Regional Health - Europe, The";journal;"26667762";4,955;Q1;44;226;490;6752;3985;269;8,13;29,88;49,94;20;141;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2023";"Health Policy (Q1); Internal Medicine (Q1); Oncology (Q1)";"Medicine"
95;21100866005;"Cancer Communications";journal;"25233548";4,950;Q1;79;108;289;4873;3552;176;12,39;45,12;40,77;1;83;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
96;23063;"Circulation Research";journal;"00097330, 15244571";4,903;Q1;385;253;889;16180;10967;759;10,73;63,95;39,66;0;108;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1953-2023";"Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
97;21100394875;"Cell Systems";journal;"24054720, 24054712";4,872;Q1;87;94;312;6114;2253;267;6,84;65,04;33,33;0;17;United States;Northern America;"Cell Press";"2015-2023";"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
98;3500148004;"Cellular and Molecular Immunology";journal;"20420226, 16727681";4,838;Q1;124;148;670;8892;8300;447;11,71;60,08;42,51;0;47;United Kingdom;Western Europe;"Nature Publishing Group";"2004-2023";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
99;15870;"Journal of Clinical Investigation";journal;"00219738, 15588238";4,833;Q1;544;533;1765;27872;19303;1711;9,95;52,29;40,77;0;270;United States;Northern America;"The American Society for Clinical Investigation";"1945-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
100;17800156710;"Nature reviews. Rheumatology";journal;"17594790, 17594804";4,818;Q1;182;174;527;8003;4909;290;8,63;45,99;39,80;2;16;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Rheumatology (Q1)";"Medicine"
101;17552;"Acta Neuropathologica";journal;"00016322, 14320533";4,720;Q1;215;123;409;5679;3917;329;8,39;46,17;40,69;0;11;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1961-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Neuroscience"
102;26555;"Annual Review of Physical Chemistry";journal;"0066426X, 15451593";4,696;Q1;186;23;69;2967;1106;69;13,60;129,00;28,26;0;2;United States;Northern America;"Annual Reviews Inc.";"1975, 1983, 1985, 1988-2023";"Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Medicine"
103;19817;"British Journal of Sports Medicine";journal;"03063674, 14730480";4,691;Q1;224;268;920;9934;8227;562;6,59;37,07;36,82;20;47;United Kingdom;Western Europe;"BMJ Publishing Group";"1964, 1974-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
104;14317;"Brain";journal;"14602156, 00068950";4,689;Q1;380;500;1229;28618;10713;887;8,29;57,24;46,00;1;66;United Kingdom;Western Europe;"Oxford University Press";"1878-1915, 1917-2023";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)";"Medicine"
105;12611;"Drug Resistance Updates";journal;"13687646, 15322084";4,665;Q1;132;74;76;6493;1477;75;17,53;87,74;34,58;0;59;United States;Northern America;"Churchill Livingstone";"1998-2023";"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
106;14639;"Ophthalmology";journal;"15494713, 01616420";4,642;Q1;285;324;1062;5007;6429;581;6,35;15,45;38,83;0;47;United States;Northern America;"Elsevier Inc.";"1958, 1978-2023";"Ophthalmology (Q1)";"Medicine"
107;21101133552;"Blood cancer discovery";journal;"26433230, 26433249";4,640;Q1;25;42;128;1802;959;125;8,13;42,90;35,32;0;33;United States;Northern America;"NLM (Medline)";"2020-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
108;11300153407;"JACC: Cardiovascular Imaging";journal;"1936878X, 18767591";4,636;Q1;155;274;1171;4991;5843;462;4,84;18,22;29,03;1;62;United States;Northern America;"Elsevier Inc.";"2008-2023";"Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Medicine"
109;29263;"Clinical Cancer Research";journal;"10780432, 15573265";4,623;Q1;377;541;2035;19863;19126;1944;9,00;36,72;43,31;0;440;United States;Northern America;"American Association for Cancer Research Inc.";"1995-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
110;21100420802;"GigaScience";journal;"2047217X";4,621;Q1;88;109;395;7159;3822;395;11,10;65,68;32,99;0;24;United Kingdom;Western Europe;"Oxford University Press";"2012-2023";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
111;21677;"American Journal of Human Genetics";journal;"15376605, 00029297";4,516;Q1;330;168;531;8773;4022;500;6,82;52,22;50,01;1;40;United States;Northern America;"Cell Press";"1950-2023";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
112;21100445640;"Trends in Cancer";journal;"24058033, 24058025";4,513;Q1;90;111;338;7747;3828;324;9,71;69,79;40,00;0;99;United States;Northern America;"Cell Press";"2015-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
113;14280;"Protein Science";journal;"1469896X, 09618368";4,419;Q1;196;287;678;17157;5311;665;8,46;59,78;35,78;0;55;United States;Northern America;"Wiley-Blackwell";"1992-2023";"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
114;21100369870;"Lancet HIV,The";journal;"23523018";4,416;Q1;81;174;518;3310;2716;258;4,90;19,02;49,45;0;128;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2023";"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
115;19600166320;"Protein and Cell";journal;"16748018, 1674800X";4,412;Q1;94;83;257;551;2693;152;12,12;6,64;42,80;0;24;United Kingdom;Western Europe;"Oxford University Press";"2010-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
116;22214;"Genome Research";journal;"15495469, 10889051";4,403;Q1;328;160;510;10782;3412;508;6,13;67,39;38,23;0;43;United States;Northern America;"Cold Spring Harbor Laboratory Press";"1991-2023";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
117;20833;"Health Affairs";journal;"02782715, 15445208";4,387;Q1;212;231;875;5601;5245;666;5,83;24,25;51,01;25;146;United States;Northern America;"Project HOPE";"1981-2023";"Health Policy (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
118;21100228546;"JAMA Internal Medicine";journal;"21686114, 21686106";4,363;Q1;390;389;1371;5561;7459;447;4,70;14,30;41,86;23;119;United States;Northern America;"American Medical Association";"2013-2023";"Internal Medicine (Q1)";"Medicine"
119;21708;"Annual Review of Genomics and Human Genetics";journal;"15278204, 1545293X";4,361;Q1;129;17;70;2233;632;70;7,96;131,35;55,77;0;1;United States;Northern America;"Annual Reviews Inc.";"2000-2023";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
120;21101041612;"Lancet Healthy Longevity, The";journal;"26667568";4,324;Q1;30;144;334;2888;1904;141;5,48;20,06;44,01;0;57;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2023";"Family Practice (Q1); Geriatrics and Gerontology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Social Sciences"
121;17664;"American Journal of Psychiatry";journal;"0002953X, 15357228";4,321;Q1;395;136;521;1850;4161;338;7,27;13,60;41,98;2;42;United States;Northern America;"American Psychiatric Association";"1945-2023";"Psychiatry and Mental Health (Q1)";"Medicine"
122;17643;"Journal of the American Academy of Child and Adolescent Psychiatry";journal;"08908567, 15275418";4,320;Q1;273;195;623;6218;3386;265;4,22;31,89;56,65;0;31;United States;Northern America;"Elsevier Inc.";"1962, 1968, 1970, 1973, 1976, 1979, 1981-1984, 1987-2023";"Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
123;21101012669;"npj Digital Medicine";journal;"23986352";4,273;Q1;84;232;508;11375;8001;434;12,51;49,03;37,71;10;65;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2023";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
124;21100797856;"Journal of Extracellular Vesicles";journal;"20013078";4,268;Q1;112;90;339;6069;5236;323;14,91;67,43;47,22;0;35;United States;Northern America;"John Wiley &amp; Sons Inc.";"2012-2023";"Cell Biology (Q1); Histology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
125;21100834316;"Lancet Child and Adolescent Health, The";journal;"23524642";4,229;Q1;69;185;605;3903;4592;263;6,05;21,10;60,96;0;75;Netherlands;Western Europe;"Elsevier B.V.";"2017-2023";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)";"Medicine; Psychology"
126;144840;"PLoS Medicine";journal;"15491277, 15491676";4,198;Q1;275;168;883;8110;9109;869;9,19;48,27;47,25;13;128;United States;Northern America;"Public Library of Science";"2004-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
127;21365;"Trends in Immunology";journal;"14714906, 14714981";4,163;Q1;256;114;334;7362;3400;318;8,57;64,58;41,61;0;45;United Kingdom;Western Europe;"Elsevier Ltd";"1987-1990, 1993-1994, 2001-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
128;17271;"Medical Image Analysis";journal;"13618415, 13618423";4,112;Q1;171;273;813;19887;11160;809;12,77;72,85;27,89;0;60;Netherlands;Western Europe;"Elsevier B.V.";"1996-2024";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
129;146215;"Journal of the National Comprehensive Cancer Network : JNCCN";journal;"15401413, 15401405";4,102;Q1;150;200;611;7359;6158;523;10,66;36,80;49,36;0;155;United States;Northern America;"Cold Spring Publishing LLC";"2003-2023";"Medicine (miscellaneous) (Q1); Oncology (Q1)";"Medicine"
130;23183;"European Heart Journal";journal;"15229645, 0195668X";4,091;Q1;348;868;2786;21303;17999;1692;6,58;24,54;29,58;10;243;United Kingdom;Western Europe;"Oxford University Press";"1980-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
131;19614;"Annual Review of Microbiology";journal;"00664227, 15453251";4,082;Q1;213;33;110;4145;1137;107;8,50;125,61;47,50;0;6;United States;Northern America;"Annual Reviews Inc.";"1948, 1950-1958, 1960, 1962-2023";"Medicine (miscellaneous) (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
132;15623;"Human Reproduction Update";journal;"14602369, 13554786";4,074;Q1;214;39;151;5581;2138;133;13,58;143,10;62,81;1;24;United Kingdom;Western Europe;"Oxford University Press";"1995-2023";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)";"Medicine"
133;21100205926;"Blood Cancer Journal";journal;"20445385";3,974;Q1;76;186;488;5144;3636;298;7,48;27,66;40,68;0;95;United States;Northern America;"Nature Publishing Group";"2011-2023";"Hematology (Q1); Oncology (Q1)";"Medicine"
134;21100242814;"eLife";journal;"2050084X";3,932;Q1;206;1655;6193;114687;41633;6031;6,16;69,30;39,97;0;389;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
135;21100370017;"Lancet Haematology,The";journal;"23523026";3,923;Q1;93;195;598;3178;3333;291;4,89;16,30;38,80;0;70;United Kingdom;Western Europe;"Lancet Publishing Group";"2014-2023";"Hematology (Q1)";"Medicine"
136;21100470165;"Advanced Science";journal;"21983844";3,914;Q1;187;1975;3160;140487;48286;3151;14,60;71,13;35,98;0;790;Germany;Western Europe;"Wiley-VCH Verlag";"2014-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Physics and Astronomy"
137;21100228543;"JAMA Surgery";journal;"21686262, 21686254";3,905;Q1;206;421;1193;6018;5683;430;4,67;14,29;37,09;3;143;United States;Northern America;"American Medical Association";"2013-2023";"Surgery (Q1)";"Medicine"
138;17382;"Molecular Psychiatry";journal;"14765578, 13594184";3,895;Q1;250;552;1431;45931;14069;1303;9,21;83,21;44,14;5;89;United Kingdom;Western Europe;"Springer Nature";"1996-2023";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
139;19992;"Kidney International";journal;"00852538, 15231755";3,886;Q1;318;361;1357;9270;8714;672;6,20;25,68;42,71;1;135;Netherlands;Western Europe;"Elsevier B.V.";"1972-2023";"Nephrology (Q1)";"Medicine"
140;18458;"European Respiratory Journal";journal;"09031936, 13993003";3,810;Q1;282;371;1759;12796;12994;981;7,12;34,49;43,50;5;187;Switzerland;Western Europe;"European Respiratory Society";"1988-2023";"Medicine (miscellaneous) (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine"
141;21100401152;"Microbiome";journal;"20492618";3,802;Q1;143;266;622;19900;8873;607;13,17;74,81;44,00;0;90;United Kingdom;Western Europe;"BioMed Central Ltd";"2013-2023";"Microbiology (Q1); Microbiology (medical) (Q1)";"Immunology and Microbiology; Medicine"
142;12455;"Molecular Therapy";journal;"15250024, 15250016";3,736;Q1;209;288;830;15752;7824;717;9,43;54,69;42,79;0;116;United States;Northern America;"Cell Press";"2000-2023";"Drug Discovery (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
143;21100466864;"Journal for ImmunoTherapy of Cancer";journal;"20511426";3,728;Q1;117;445;1590;19408;14743;1571;8,71;43,61;42,99;0;391;United Kingdom;Western Europe;"BMJ Publishing Group";"2013-2023";"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
144;18555;"Journal of Cell Biology";journal;"15408140, 00219525";3,717;Q1;414;265;833;15215;5160;794;5,99;57,42;42,38;0;35;United States;Northern America;"Rockefeller University Press";"1961-2023";"Cell Biology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
145;21100942855;"Lancet Rheumatology, The";journal;"26659913";3,717;Q1;54;149;591;2803;2764;203;4,71;18,81;39,82;0;26;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Immunology and Microbiology; Medicine"
146;21101163245;"Nature Cardiovascular Research";journal;"27310590";3,710;Q1;15;194;182;5652;691;75;3,80;29,13;39,76;1;42;Germany;Western Europe;"Springer";"2022-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cardiology and Cardiovascular Medicine (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
147;21100297606;"Arthritis and Rheumatology";journal;"23265191, 23265205";3,708;Q1;353;330;975;9945;6341;627;6,84;30,14;47,30;3;50;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2023";"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Immunology and Microbiology; Medicine"
